Date,Open,High,Low,Close,Volume
01-01-2014,436.5,437.38,432.76,433.5,184836
02-01-2014,432.91,438.5,432.91,435.07,550593
03-01-2014,434.38,446.88,431.78,445.64,1255793
04-01-2014,446.89,447.56,433.58,439.74,1387291
05-01-2014,439.88,440.74,430.84,432.14,964211
06-01-2014,432.63,434.38,427.63,428.51,1123799
07-01-2014,430,435.25,427.23,431.35,1573851
08-01-2014,436.25,446.88,431,443.91,3782272
09-01-2014,447.75,459.38,447.75,458.13,2139989
10-01-2014,455.63,461.88,455.06,460.84,928229
11-01-2014,461.91,465.54,460.13,464.01,2141268
12-01-2014,462.38,467.18,461.71,465.63,2201029
13-01-2014,466.13,470.58,465,466.22,3208487
14-01-2014,464,469.99,463.06,468.66,1220243
15-01-2014,468.75,471.25,464.79,469.79,1512808
16-01-2014,467.65,472.25,467.51,470.74,846220
17-01-2014,473.01,474.88,470.11,474.06,988418
18-01-2014,470.63,474.62,469.34,469.77,859573
19-01-2014,465,470.49,463.9,466.53,1012381
20-01-2014,463.38,463.59,458.36,459.39,1763568
21-01-2014,458.25,467.96,456.71,464.73,1012760
22-01-2014,462.96,464.59,457.5,463.03,897954
23-01-2014,462.5,467.47,460.82,462.64,671241
24-01-2014,460.63,461.5,453.1,453.64,548014
25-01-2014,447.63,448.99,443.32,445.14,566889
26-01-2014,447.5,448.63,442.84,447.66,540874
27-01-2014,446.5,447.88,442.63,445.46,718738
28-01-2014,448.38,450.23,443.61,445.82,943932
29-01-2014,447.49,448.25,444.69,446.73,756178
30-01-2014,448,452.75,446.69,449.53,729199
31-01-2014,450.06,453.43,449.15,450.01,526089
01-02-2014,450.6,452.24,447.51,448.23,448540
02-02-2014,451.94,458,450.41,455.54,745271
03-02-2014,460.63,460.63,456.11,457.27,1696240
04-02-2014,455.88,461.83,455.88,460.25,622280
05-02-2014,468.11,468.11,463.25,463.91,1102106
06-02-2014,467,469.43,465.91,468.84,689748
07-02-2014,468.25,469.21,466.25,468.74,544701
08-02-2014,469.38,474.01,469.38,472.86,1012439
09-02-2014,472.5,477.23,471.51,475.94,919021
10-02-2014,470.14,479.64,470.14,478.11,1229937
11-02-2014,478.13,481.24,473.99,474.78,900522
12-02-2014,471.25,478.06,470.24,474.94,867239
13-02-2014,478.49,480.55,476.24,477.71,617938
14-02-2014,479.75,481.24,477.17,478.99,778289
15-02-2014,478.38,479.25,463.54,467.54,1884093
16-02-2014,466.21,466.21,455.66,458.95,929059
17-02-2014,456.63,463.61,453.88,459.42,515534
18-02-2014,459.18,462.92,456.5,458.91,492513
19-02-2014,427.5,429.99,417.5,419.7,5098860
20-02-2014,417.5,425.49,416.88,424.27,1395943
21-02-2014,425,426.49,417.5,418.82,1475539
22-02-2014,418.75,419.73,404.84,408.97,1972231
23-02-2014,408.75,418.69,408.75,412.88,1002879
24-02-2014,416.25,417.25,408.81,413.21,1547540
25-02-2014,409.03,414.81,408.75,409.48,1020043
26-02-2014,406,409.96,405.75,406.8,943508
27-02-2014,407.5,408.62,403.83,406.11,1057321
28-02-2014,406,407.86,401.99,403.88,1699921
01-03-2014,405.01,409.88,403.41,407.83,893353
02-03-2014,410.66,413.12,403.76,410.35,1147116
03-03-2014,410.38,415.63,409.38,414.24,1078544
04-03-2014,418.6,418.75,413.81,415.26,705550
05-03-2014,417.44,418.5,414.88,417.27,587527
06-03-2014,418.88,419.5,413.26,414.51,490698
07-03-2014,412.25,414.31,407,411.68,887193
08-03-2014,410.13,413.73,403.81,406.82,1333085
09-03-2014,406.81,407.22,398.27,400.15,2657905
10-03-2014,401.25,406.95,395.63,404.39,2334792
11-03-2014,416.53,423.5,405.94,407.48,2597798
12-03-2014,405.24,405.24,393.44,394.66,1649788
13-03-2014,397.5,401.26,394.79,399.01,1048989
14-03-2014,401.25,402.5,396.25,397.87,764953
15-03-2014,396.51,400,392.8,393.83,828362
16-03-2014,396.76,398.98,395.5,396.58,1502090
17-03-2014,398.5,400,395.42,396.95,745363
18-03-2014,396.13,399.13,395.63,397.26,755310
19-03-2014,397.88,399.38,396.38,397.22,604433
20-03-2014,397.21,398.75,396.38,397.6,967742
21-03-2014,398.13,405.88,398.13,402.46,595549
22-03-2014,399,404.13,396.82,397.11,524586
23-03-2014,397.11,398.06,394.38,395.64,570753
24-03-2014,393.88,396.25,381.25,383.42,1949509
25-03-2014,383.75,386.05,380.81,383.16,1145249
26-03-2014,383.13,390.63,381.61,388.93,772425
27-03-2014,389.78,398.31,388.13,396.89,880525
28-03-2014,397.88,409.38,397.88,408.16,912496
29-03-2014,406.28,408.13,402.14,406.76,648086
30-03-2014,406.76,411.86,400.66,409.06,1051149
31-03-2014,412.38,417.5,382.38,397.19,1773599
01-04-2014,399.75,399.75,375.01,376.88,2155814
02-04-2014,381.13,392.36,380.28,390.28,1098418
03-04-2014,389.75,395.54,387.38,394.64,848538
04-04-2014,395,397.5,385.14,389.24,1229093
05-04-2014,390.63,396.38,376.52,383.69,1135222
06-04-2014,383.88,388.87,381.27,386.86,718818
07-04-2014,387.5,394.38,387.44,391.76,623016
