Date,Open,High,Low,Close,Volume
01-01-2014,222.26,222.45,219.82,220.11,1337074
02-01-2014,219.84,221.9,215.48,216.7,1376901
03-01-2014,215.85,216.29,211.74,214.03,2933613
04-01-2014,213.5,213.79,210.5,211.73,3043781
05-01-2014,211.64,212.97,208.04,208.55,3957111
06-01-2014,209.12,212.32,209.12,210.27,2909048
07-01-2014,210.62,211.45,209.28,210.68,1899340
08-01-2014,210.1,217.02,210.01,212.52,3392170
09-01-2014,215.02,218.68,214.96,218.03,2756390
10-01-2014,217.56,219.06,216.06,218.31,2760267
11-01-2014,219.1,221.65,218.18,219.28,2893960
12-01-2014,220.09,221.23,218.44,219.46,4123266
13-01-2014,220.2,222.12,218,219.11,3534630
14-01-2014,219.64,220.16,214.49,215.4,3789008
15-01-2014,216.11,216.35,213.48,213.74,2241570
16-01-2014,213.85,216.78,212.52,216.06,1947009
17-01-2014,213.13,215.78,213.13,214.42,3146981
18-01-2014,213.48,216.61,213.25,214.88,2715344
19-01-2014,211.99,213.18,208.11,208.81,2822051
20-01-2014,209.76,211.99,208.7,209.23,2645575
21-01-2014,210.46,211.12,206.79,207.19,2828526
22-01-2014,205.9,206.5,203.62,204.31,3223490
23-01-2014,204.81,206.41,204.6,205.84,2523182
24-01-2014,204.61,205.5,202.94,203.3,1880728
25-01-2014,201.71,204.72,201.38,203.46,2825803
26-01-2014,203.1,203.45,199.83,202.39,2582636
27-01-2014,203.07,204.09,200.14,202.05,2474757
28-01-2014,203.6,204.02,200.75,201.7,1933597
29-01-2014,201.9,204.46,200.88,203.56,2364740
30-01-2014,203.82,204.31,198.8,199.42,2882244
31-01-2014,200.1,203.55,199.95,202.55,2246719
01-02-2014,202.8,202.8,199.37,199.95,1978914
02-02-2014,201.07,204.07,200.1,203.58,2107250
03-02-2014,202.49,203.57,199.87,201.17,2070622
04-02-2014,199.88,202.54,199.88,201.38,1312359
05-02-2014,200.92,201.51,198.89,199.47,1838151
06-02-2014,199.88,202.08,199.51,200.97,1430079
07-02-2014,200.12,201.82,199.43,201.18,1554509
08-02-2014,201.66,202.08,199.99,200.73,1609074
09-02-2014,200.85,202.29,200.17,200.77,3110571
10-02-2014,200.77,201.92,196.41,198.11,4331622
11-02-2014,198.15,199.81,197.42,198.96,2659675
12-02-2014,198.86,201.75,198.77,201.33,2056575
13-02-2014,201.97,202.58,199.4,199.86,2703603
14-02-2014,200.44,204.16,200.43,203.68,2325283
15-02-2014,204.31,216.45,204.31,215.31,7679752
16-02-2014,214.24,223.79,213.82,219.28,7513409
17-02-2014,219.17,219.87,215.98,216.63,2921335
18-02-2014,216.45,218.65,214.88,215.79,2155857
19-02-2014,216.7,221.59,216.62,217.82,3936620
20-02-2014,216.45,220.4,215.22,219.46,3780891
21-02-2014,220.29,225.07,220.29,222.01,4351046
22-02-2014,222.89,225.34,221.71,223.63,3743369
23-02-2014,223.28,224.74,222.43,224.37,6791651
24-02-2014,224.62,226.19,218.47,219.37,5040481
25-02-2014,220.72,225.05,220.68,224.22,6586731
26-02-2014,217.69,218.55,216.08,217.76,7154556
27-02-2014,218.24,223.62,218.22,220.71,3156965
28-02-2014,221.61,224.1,220.93,223.07,12665322
01-03-2014,222.89,227.83,222.89,226.89,4267110
02-03-2014,226.91,232.74,226.16,230.5,4286368
03-03-2014,231.8,234.03,230.14,233.44,3575180
04-03-2014,234.03,238.24,232.32,237.3,6121499
05-03-2014,236.95,238.48,232.89,235.93,6069088
06-03-2014,235.77,236.07,233.18,233.85,2860462
07-03-2014,233.78,236.5,231.39,233.82,2949923
08-03-2014,235.27,239.41,234.56,238.28,3071917
09-03-2014,238.91,241.19,238.29,239.99,2434297
10-03-2014,238.32,240.48,235.42,236.2,2672508
11-03-2014,235.27,236.26,231.95,235.05,2117715
12-03-2014,234.4,237.5,232.32,233.12,2830152
13-03-2014,234.03,238.19,233.73,237.52,1793418
14-03-2014,240.21,240.21,236.78,237.65,2701214
15-03-2014,237.75,244.87,236.78,239.67,4418930
16-03-2014,239.98,243.19,238.8,239.52,3494693
17-03-2014,239.73,239.98,234.28,234.84,3029220
18-03-2014,235.22,236.76,233.13,234.03,3796899
19-03-2014,234.29,235.7,232.3,232.87,1919298
20-03-2014,233.76,237.75,230.09,231.75,3289582
21-03-2014,232.79,234.63,229.33,229.85,2073376
22-03-2014,229.08,237.37,229.08,234.49,3474292
23-03-2014,234.75,239.48,234.66,238.58,2832651
24-03-2014,237.77,240.57,237.02,237.96,2416483
25-03-2014,238.51,240.25,235.46,237.82,2731382
26-03-2014,236.71,247.4,236.71,247.06,4217843
27-03-2014,246.39,259.79,246.19,254.76,7051280
28-03-2014,257.56,264.69,256.2,263.35,6140492
29-03-2014,263.5,264.49,257.83,258.92,4428958
30-03-2014,258.92,262.51,257.37,260.88,4769324
31-03-2014,269.97,283.62,263.03,267.28,12031151
01-04-2014,270.19,278.55,269.17,277.38,5439813
02-04-2014,279.33,279.6,266.4,267.43,5145199
