Date,Open,High,Low,Close,Volume
01-01-2014,1090.05,1092.25,1075.55,1076.65,264976
02-01-2014,1083,1094.5,1078.07,1083.5,863474
03-01-2014,1082.35,1114.55,1073.63,1111.1,1309087
04-01-2014,1114.5,1122,1098.5,1119.8,1155905
05-01-2014,1120,1128.22,1099.5,1103.07,1448743
06-01-2014,1106,1122,1105,1116.32,1275010
07-01-2014,1114.38,1127.75,1111.05,1120.97,1291103
08-01-2014,1130,1154.9,1117.5,1140.45,1684667
09-01-2014,1142.5,1192,1142.5,1184.38,1907158
10-01-2014,1186,1192.4,1160,1163.38,1487482
11-01-2014,1171.22,1189.1,1163.5,1176.8,1524427
12-01-2014,1190,1190.05,1162.5,1175.15,1498981
13-01-2014,1149,1149,1103.03,1106.53,3782378
14-01-2014,1109.47,1175,1107.75,1169.1,3005279
15-01-2014,1167,1169.63,1137.55,1140.15,1566141
16-01-2014,1143.55,1148.43,1132.05,1137.03,1192015
17-01-2014,1134.05,1138.35,1118.65,1126.22,1145381
18-01-2014,1122,1141.63,1117.5,1124.35,925133
19-01-2014,1113,1129.75,1110.05,1114.8,1266474
20-01-2014,1116,1123.93,1098.05,1106.18,1426083
21-01-2014,1120,1120,1102.5,1104.9,849038
22-01-2014,1099.03,1113.5,1095,1108.8,1112625
23-01-2014,1112.55,1134.9,1110.5,1120.53,1087123
24-01-2014,1111,1122.13,1095.4,1097.22,681240
25-01-2014,1087,1087.5,1056.03,1075.68,1347083
26-01-2014,1081.9,1100,1070,1097.2,926825
27-01-2014,1090,1094.95,1072.5,1087.63,961326
28-01-2014,1095,1097.5,1065.5,1072.2,995456
29-01-2014,1072,1072,1042.55,1046.78,2009635
30-01-2014,1050,1063.25,1048,1050.85,1784393
31-01-2014,1059,1061.8,1047.5,1052.72,1537174
01-02-2014,1053.5,1069.2,1048.25,1066.88,1047175
02-02-2014,1068.95,1092.38,1064.05,1083.95,955031
03-02-2014,1080,1093,1073.6,1082.7,835197
04-02-2014,1082.5,1095.5,1077.93,1083,763458
05-02-2014,1103,1111,1091.4,1094.68,793962
06-02-2014,1099,1106.5,1095.38,1102.85,858930
07-02-2014,1102,1102.63,1085.05,1088.95,1225212
08-02-2014,1094.5,1099.75,1090,1094.45,1652687
09-02-2014,1097,1097.5,1088.57,1091.07,1929856
10-02-2014,1080.5,1140,1080.07,1137.88,1994096
11-02-2014,1135.9,1149.5,1114,1120.03,803039
12-02-2014,1116.6,1127,1112,1120.32,1015166
13-02-2014,1127.43,1143.13,1121.28,1125.95,1151003
14-02-2014,1126.43,1130,1116.07,1120.38,657281
15-02-2014,1122.75,1125.03,1076.4,1114.25,2349236
16-02-2014,1114.05,1114.25,1067.5,1071.32,1914884
17-02-2014,1077.5,1088.82,1061,1075.82,1275127
18-02-2014,1076.5,1094.88,1076.5,1089.72,834894
19-02-2014,1074.03,1101,1068.43,1074.78,1009942
20-02-2014,1070.5,1080.25,1062.15,1069.78,1080623
21-02-2014,1067.75,1075.9,1052.13,1061,1282921
22-02-2014,1037.5,1037.5,1006.53,1019.7,4326331
23-02-2014,1019,1061.45,1005.7,1054.1,2864478
24-02-2014,1062.5,1072.5,1042.5,1063.5,2340388
25-02-2014,1068.47,1078.97,1063.07,1076.3,1091507
26-02-2014,1072,1086,1065,1073.32,1124984
27-02-2014,1074.03,1079.25,1043.78,1046.75,1596175
28-02-2014,1050.47,1057.5,1032.53,1047.13,2506238
01-03-2014,1048.5,1061.43,1040.03,1051.05,1485581
02-03-2014,1052,1072.47,1041,1066.57,1341634
03-03-2014,1072.5,1092.5,1072.45,1088.35,1377966
04-03-2014,1095,1101,1080.53,1086.13,1881508
05-03-2014,1086.43,1091,1073.8,1083.25,790597
06-03-2014,1086,1093.5,1065,1069.43,847328
07-03-2014,1065.05,1082.97,1060.35,1076.9,1297493
08-03-2014,1076,1081,1052.5,1070.2,1675250
09-03-2014,1070.2,1074.32,1057.6,1063.07,1076443
10-03-2014,1059,1087.45,1050,1082.05,1170371
11-03-2014,1090.5,1129,1087.03,1126.38,1798622
12-03-2014,1132,1132,1092.1,1098.15,1737955
13-03-2014,1110,1113.5,1071.35,1111.45,3840719
14-03-2014,1110,1121.45,1105.65,1110.88,921297
15-03-2014,1116.97,1124.95,1109.95,1110.53,743137
16-03-2014,1115.7,1121.95,1100.55,1106.88,969496
17-03-2014,1113.5,1117.5,1096.6,1102.63,1580224
18-03-2014,1102.63,1111.35,1090.05,1095.68,1275383
19-03-2014,1093,1103.18,1088.45,1097.13,923090
20-03-2014,1092.55,1102.8,1090.5,1094.6,1198689
21-03-2014,1090.63,1109.95,1090.63,1104.22,958889
22-03-2014,1105.4,1114.5,1102.07,1106.85,657239
23-03-2014,1106.85,1110.8,1095,1099.45,480616
24-03-2014,1095.53,1101.5,1070.05,1082.78,2358091
25-03-2014,1082.55,1090.9,1073.82,1081.03,1303450
26-03-2014,1076,1092.35,1076,1079.95,899720
27-03-2014,1076.5,1083.35,1061.57,1079.68,1443032
28-03-2014,1082.9,1119.5,1082.9,1105.47,1273742
29-03-2014,1107.2,1118.85,1100.55,1108.05,694614
30-03-2014,1108.05,1112.5,1085.57,1096.57,1260098
31-03-2014,1100.03,1126.7,1050.13,1080.38,2620899
01-04-2014,1075,1080,999.75,1018.35,3258303
02-04-2014,1014,1080,1014,1034.1,2351057
03-04-2014,1030.6,1044.5,1027.9,1041.43,2058473
04-04-2014,1048.38,1062,1037.55,1055.97,2108421
05-04-2014,1059.5,1074.5,1048,1063.95,1547390
06-04-2014,1074.5,1084.8,1066.8,1077,1325425
07-04-2014,1080.07,1092.3,1059,1065.72,897547
08-04-2014,1070,1079.38,1061.22,1075.28,943744
09-04-2014,1072.5,1090,1067.6,1079.97,1410355
10-04-2014,1079.4,1083.5,1065.07,1070.68,1292824
11-04-2014,1072,1078.88,1058.03,1064.93,547579
12-04-2014,1064.93,1069,1052.6,1064.3,1242314
13-04-2014,1065,1067.45,1038.5,1044.63,1070531
14-04-2014,1041.55,1058.2,1034,1052.07,2174235
15-04-2014,1050.07,1053.9,1028,1042.13,1680793
16-04-2014,1043.5,1059,1040,1056.9,1333098
17-04-2014,1057.5,1080.47,1057.5,1079.07,1314034
18-04-2014,1082.5,1107,1069.1,1103.47,1772281
19-04-2014,1124.5,1127,1091.9,1118.68,1367169
20-04-2014,1119,1119.5,1092.53,1106.78,952011
21-04-2014,1105,1138.47,1105,1134.88,1219953
22-04-2014,1142.45,1148.5,1135.5,1139.93,959072
23-04-2014,1146.5,1146.5,1110.65,1113.53,974412
24-04-2014,1115,1144.5,1105.05,1138.03,948177
25-04-2014,1142.45,1149.5,1131,1146.2,577837
26-04-2014,1146.5,1149.95,1127.03,1134.43,631367
27-04-2014,1134.5,1159.75,1127.5,1154.53,739550
28-04-2014,1155,1160,1146.5,1155.28,514211
29-04-2014,1148,1172.07,1145.57,1153.82,1018091
30-04-2014,1158.5,1203.45,1157.5,1199.78,1529418
01-05-2014,1200.28,1217.5,1188.3,1212.7,1073235
02-05-2014,1209.45,1209.5,1191.15,1195.38,546395
03-05-2014,1200,1205.88,1191.75,1200.8,453870
04-05-2014,1199.5,1222.5,1196,1208.95,763381
05-05-2014,1206.2,1212.75,1200.5,1205.25,268068
